RID	Token	Offset	RVA	ImplFlags	Flags	Name	Signature	ParamList	Info
84	0x06000054	0x0001C526	0x205C	0	0x1886	0x19DA	0x15	0x30	.ctor
85	0x06000055	0x0001C534	0x20CE	0	0x83	0x14B	0xA6	0x30	<_Send>b__0
86	0x06000056	0x0001C542	0x205C	0	0x1886	0x19DA	0x15	0x30	.ctor
87	0x06000057	0x0001C550	0x20DB	0	0x83	0x166	0xA6	0x30	<_SendAndReceive>b__0
88	0x06000058	0x0001C55E	0x3BE0	0	0x96	0x611	0x124	0x30	flared_35
89	0x06000059	0x0001C56C	0x3C98	0	0x96	0x748	0x124	0x31	flare_37
90	0x0600005A	0x0001C57A	0x3CE4	0	0x96	0x6A6	0x129	0x32	flared_36
91	0x0600005B	0x0001C588	0x3D10	0	0x96	0x7D5	0x129	0x32	flare_38
92	0x0600005C	0x0001C596	0x3D4C	0	0x96	0x73E	0x129	0x32	flared_37
93	0x0600005D	0x0001C5A4	0x3D84	0	0x96	0x874	0x129	0x32	flare_39
94	0x0600005E	0x0001C5B2	0x3DC0	0	0x96	0x1866	0x12E	0x32	FromBinaryReader
95	0x0600005F	0x0001C5C0	0x3E18	0	0x886	0x183C	0xA6	0x33	get_Is32BitHeader
96	0x06000060	0x0001C5CE	0x3E40	0	0x886	0x17F2	0x136	0x33	get_FileHeader
97	0x06000061	0x0001C5DC	0x3E58	0	0x886	0x376	0x13B	0x33	get_OptionalHeader32
98	0x06000062	0x0001C5EA	0x3E70	0	0x886	0x58A	0x140	0x33	get_OptionalHeader64
99	0x06000063	0x0001C5F8	0x3E88	0	0x886	0x1D86	0x145	0x33	get_ImageSectionHeaders
100	0x06000064	0x0001C606	0x3EA0	0	0x886	0x1798	0x14B	0x33	get_TimeStamp
101	0x06000065	0x0001C614	0x205C	0	0x1886	0x19DA	0x15	0x33	.ctor
102	0x06000066	0x0001C622	0x3EEC	0	0x886	0x15E0	0x189	0x33	get_Section
103	0x06000067	0x0001C630	0x20E8	0	0x1886	0x19DA	0x15	0x33	.ctor
104	0x06000068	0x0001C63E	0x3F0C	0	0x96	0x7CB	0x245	0x33	flared_38
105	0x06000069	0x0001C64C	0x4038	0	0x96	0x14AC	0x245	0x34	Main
106	0x0600006A	0x0001C65A	0x4094	0	0x96	0x86A	0x6E	0x35	flared_39
107	0x0600006B	0x0001C668	0x40B0	0	0x96	0x3F1	0x6E	0x35	flare_72
108	0x0600006C	0x0001C676	0x40EC	0	0x96	0x4C	0x6E	0x35	flared_40
109	0x0600006D	0x0001C684	0x4108	0	0x96	0x4C3	0x6E	0x35	flare_73
110	0x0600006E	0x0001C692	0x211C	0	0x1891	0x19E0	0x30	0x35	.cctor
111	0x0600006F	0x0001C6A0	0x205C	0	0x1886	0x19DA	0x15	0x35	.ctor
112	0x06000070	0x0001C6AE	0x2128	0	0x83	0xA1	0x15	0x35	<.ctor>b__0_0
113	0x06000071	0x0001C6BC	0x4144	0	0x96	0x1FB	0x257	0x35	flared_41
114	0x06000072	0x0001C6CA	0x4174	0	0x96	0x56	0x257	0x37	flare_40
115	0x06000073	0x0001C6D8	0x2136	0	0x1891	0x19E0	0x30	0x39	.cctor
116	0x06000074	0x0001C6E6	0x41C8	0	0x96	0x3B8	0x261	0x39	flared_42
117	0x06000075	0x0001C6F4	0x42C4	0	0x96	0x205	0x261	0x3A	flare_41
118	0x06000076	0x0001C702	0x4308	0	0x96	0x48A	0x30	0x3B	flared_43
119	0x06000077	0x0001C710	0x4398	0	0x96	0x3C2	0x30	0x3B	flare_42
120	0x06000078	0x0001C71E	0x43D0	0	0x96	0x539	0x26B	0x3B	flared_44
121	0x06000079	0x0001C72C	0x445C	0	0x96	0x494	0x26B	0x3B	flare_43
122	0x0600007A	0x0001C73A	0x4498	0	0x96	0x61B	0x257	0x3B	flared_45
123	0x0600007B	0x0001C748	0x44C0	0	0x96	0x543	0x257	0x3D	flare_44
124	0x0600007C	0x0001C756	0x4514	0	0x96	0x6B0	0x26F	0x3F	flared_46
125	0x0600007D	0x0001C764	0x452C	0	0x96	0x625	0x26F	0x40	flare_45
126	0x0600007E	0x0001C772	0x205C	0	0x1886	0x19DA	0x15	0x41	.ctor
127	0x0600007F	0x0001C780	0x4574	0	0x96	0x751	0x274	0x41	flared_47
128	0x06000080	0x0001C78E	0x467C	0	0x96	0x6BA	0x274	0x43	flare_46
129	0x06000081	0x0001C79C	0x205C	0	0x1886	0x19DA	0x15	0x45	.ctor
130	0x06000082	0x0001C7AA	0x2142	0	0x896	0x1A0C	0x288	0x45	get_cs
131	0x06000083	0x0001C7B8	0x2149	0	0x891	0x1A13	0x28D	0x45	set_cs
132	0x06000084	0x0001C7C6	0x46D0	0	0x96	0x7DE	0x30	0x46	flared_48
133	0x06000085	0x0001C7D4	0x47F0	0	0x96	0x7E8	0x30	0x46	flare_48
134	0x06000086	0x0001C7E2	0x4828	0	0x96	0x87D	0x293	0x46	flared_49
135	0x06000087	0x0001C7F0	0x4894	0	0x96	0x887	0x293	0x47	flare_49
136	0x06000088	0x0001C7FE	0x48DC	0	0x96	0x5F	0x293	0x48	flared_50
137	0x06000089	0x0001C80C	0x4900	0	0x96	0x69	0x293	0x49	flare_50
138	0x0600008A	0x0001C81A	0x205C	0	0x1886	0x19DA	0x15	0x4A	.ctor
139	0x0600008B	0x0001C828	0x2151	0	0x1886	0x19DA	0x29F	0x4A	.ctor
140	0x0600008C	0x0001C836	0x4948	0	0xC6	0xC3F	0x2A7	0x4C	GetHashCode
141	0x0600008D	0x0001C844	0x4988	0	0xC6	0x1C98	0x2AB	0x4C	Equals
142	0x0600008E	0x0001C852	0x49C4	0	0x96	0x20E	0x2BF	0x4D	flared_51
143	0x0600008F	0x0001C860	0x4A14	0	0x96	0x218	0x2BF	0x4E	flare_51
144	0x06000090	0x0001C86E	0x4A58	0	0x96	0x3D5	0x6E	0x4F	flare_52
145	0x06000091	0x0001C87C	0x4AA4	0	0x96	0x3CB	0x2C4	0x4F	flared_52
146	0x06000092	0x0001C88A	0x4AE4	0	0x96	0x4A7	0x2C4	0x51	flare_53
147	0x06000093	0x0001C898	0x4B28	0	0x96	0x49D	0x19	0x53	flared_53
148	0x06000094	0x0001C8A6	0x4B50	0	0x96	0x556	0x19	0x54	flare_54
149	0x06000095	0x0001C8B4	0x4B94	0	0x96	0x54C	0x30	0x55	flared_54
150	0x06000096	0x0001C8C2	0x4C34	0	0x96	0x638	0x30	0x55	flare_55
151	0x06000097	0x0001C8D0	0x4C6C	0	0x96	0x62E	0x2CB	0x55	flared_55
152	0x06000098	0x0001C8DE	0x4CD0	0	0x96	0x6D8	0x2CB	0x57	flare_56
153	0x06000099	0x0001C8EC	0x4D1C	0	0x96	0x6CE	0x6E	0x59	flared_56
154	0x0600009A	0x0001C8FA	0x4FDC	0	0x96	0x75B	0x5F	0x59	flared_57
155	0x0600009B	0x0001C908	0x501C	0	0x96	0x765	0x5F	0x59	flare_57
156	0x0600009C	0x0001C916	0x205C	0	0x1886	0x19DA	0x15	0x59	.ctor
157	0x0600009D	0x0001C924	0x2169	0	0x1891	0x19E0	0x30	0x59	.cctor
158	0x0600009E	0x0001C932	0x205C	0	0x1886	0x19DA	0x15	0x59	.ctor
159	0x0600009F	0x0001C940	0x205C	0	0x1886	0x19DA	0x15	0x59	.ctor
160	0x060000A0	0x0001C94E	0x5058	0	0x83	0x189	0x15	0x59	<_DoTask>b__0
161	0x060000A1	0x0001C95C	0x5954	0	0x96	0x5B6	0x30	0x59	flare_74
162	0x060000A2	0x0001C96A	0x12708	0	0x96	0x7F1	0x2E5	0x59	flared_58
163	0x060000A3	0x0001C978	0x12788	0	0x96	0x7FB	0x2E5	0x5A	flare_58
164	0x060000A4	0x0001C986	0x127D0	0	0x96	0x890	0x1E	0x5B	flared_59
165	0x060000A5	0x0001C994	0x12828	0	0x96	0x89A	0x1E	0x5D	flare_59
166	0x060000A6	0x0001C9A2	0x12870	0	0x96	0x72	0x2E5	0x5F	flared_60
167	0x060000A7	0x0001C9B0	0x12890	0	0x96	0x7C	0x2E5	0x60	flare_60
168	0x060000A8	0x0001C9BE	0x128D8	0	0x96	0x221	0x2E5	0x61	flared_61
169	0x060000A9	0x0001C9CC	0x128F8	0	0x96	0x22B	0x2E5	0x62	flare_61
170	0x060000AA	0x0001C9DA	0x12940	0	0x96	0x3DE	0x2EA	0x63	flared_62
171	0x060000AB	0x0001C9E8	0x12960	0	0x96	0x3E8	0x2EA	0x64	flare_62
172	0x060000AC	0x0001C9F6	0x129A4	0	0x96	0x4B0	0x2F0	0x65	flared_63
173	0x060000AD	0x0001CA04	0x129F0	0	0x96	0x4BA	0x2F0	0x67	flare_63
174	0x060000AE	0x0001CA12	0x12A40	0	0x96	0x577	0x63	0x69	flared_64
175	0x060000AF	0x0001CA20	0x12A88	0	0x96	0x581	0x63	0x6A	flare_64
176	0x060000B0	0x0001CA2E	0x12ACC	0	0x96	0x641	0x2F6	0x6B	flared_65
177	0x060000B1	0x0001CA3C	0x12B40	0	0x96	0x64B	0x2F6	0x6C	flare_65
178	0x060000B2	0x0001CA4A	0x12B84	0	0x96	0x6E1	0x2E5	0x6D	flared_66
179	0x060000B3	0x0001CA58	0x12DAC	0	0x96	0x6EB	0x2E5	0x6E	flare_66
180	0x060000B4	0x0001CA66	0x12E00	0	0x96	0x76E	0x2FC	0x6F	flared_67
181	0x060000B5	0x0001CA74	0x13BF8	0	0x96	0x778	0x2FC	0x72	flare_67
182	0x060000B6	0x0001CA82	0x13C50	0	0x96	0x804	0x305	0x75	flared_68
183	0x060000B7	0x0001CA90	0x13C94	0	0x96	0x80E	0x305	0x77	flare_68
184	0x060000B8	0x0001CA9E	0x13CEC	0	0x96	0x8A3	0x30C	0x79	flared_69
185	0x060000B9	0x0001CAAC	0x13DB4	0	0x96	0x8AD	0x30C	0x7A	flare_69
186	0x060000BA	0x0001CABA	0x13E04	0	0x96	0x85	0x312	0x7B	flared_70
187	0x060000BB	0x0001CAC8	0x13E68	0	0x96	0x8F	0x312	0x7D	flare_70
188	0x060000BC	0x0001CAD6	0x13EB8	0	0x96	0x234	0x31A	0x7F	flare_71
189	0x060000BD	0x0001CAE4	0x2181	0	0x1883	0x19DA	0x15	0x83	.ctor
190	0x060000BE	0x0001CAF2	0x141EC	0	0x893	0x1893	0x332	0x83	get_ResourceManager
191	0x060000BF	0x0001CB00	0x14234	0	0x893	0xF52	0x337	0x83	get_Culture
192	0x060000C0	0x0001CB0E	0x218B	0	0x893	0xF5E	0x33C	0x83	set_Culture
